Component,Count,Header
"std::string",5031,<string>
"std::optional",3220,<optional>
"std::nullopt",2383,<optional>
"std::move",1705,<utility>
"std::unique_ptr",1353,<memory>
"std::max",1003,<algorithm>
"std::min",736,<algorithm>
"std::make_unique",716,<memory>
"std::cout",690,<iostream>
"std::array",653,<array>
"std::swap",417,<algorithm>
"std::endl",356,<ostream>
"std::vector",336,<vector>
"std::shared_ptr",334,<memory>
"std::ostream",298,<ostream>
"std::pair",294,<utility>
"std::stringstream",265,<sstream>
"std::numeric_limits",246,<limits>
"std::get",237,<tuple>
"std::clamp",227,<algorithm>
"std::make_shared",223,<memory>
"std::to_string",199,<string>
"std::is_same_v",194,<type_traits>
"std::lock_guard",167,<mutex>
"std::forward",148,<utility>
"std::get_if",146,<variant>
"std::scoped_lock",138,<mutex>
"std::atomic",137,<atomic>
"std::function",129,<functional>
"std::sort",108,<algorithm>
"std::string_view",101,<string_view>
"std::abs",98,<cstdlib>
"std::cerr",84,<iostream>
"std::string::npos",81,<string>
"std::memory_order_relaxed",77,<atomic>
"std::complex",76,<complex>
"std::variant",75,<variant>
"std::any_of",68,<algorithm>
"std::byte",61,<cstddef>
"std::decay_t",55,<type_traits>
"std::sqrt",52,<cmath>
"std::holds_alternative",50,<variant>
"std::destroy_at",50,<memory>
"std::unique_lock",42,<mutex>
"std::reference_wrapper",38,<functional>
"std::all_of",34,<algorithm>
"std::mutex",33,<mutex>
"std::is_same",33,<type_traits>
"std::visit",32,<variant>
"std::is_void_v",31,<type_traits>
"std::tuple",30,<tuple>
"std::runtime_error",30,<stdexcept>
"std::map",30,<map>
"std::pow",29,<cmath>
"std::copy",29,<filesystem>
"std::copy_n",28,<algorithm>
"std::make_optional",27,<optional>
"std::ios::binary",26,<ios>
"std::unordered_set",25,<unordered_set>
"std::unordered_map",25,<unordered_map>
"std::make_pair",25,<utility>
"std::reverse_iterator",24,<iterator>
"std::stable_sort",23,<algorithm>
"std::fill_n",23,<algorithm>
"std::round",22,<cmath>
"std::is_base_of_v",22,<type_traits>
"std::deque",22,<deque>
"std::size_t",21,<cstddef>
"std::is_convertible_v",21,<type_traits>
"std::sin",20,<cmath>
"std::queue",20,<queue>
"std::is_trivially_destructible_v",20,<type_traits>
"std::is_trivial_v",20,<type_traits>
"std::cos",20,<cmath>
"std::is_floating_point_v",19,<type_traits>
"std::memcpy",18,<cstring>
"std::istringstream",18,<sstream>
"std::accumulate",18,<numeric>
"std::setw",17,<iomanip>
"std::reverse",17,<algorithm>
"std::ostringstream",17,<sstream>
"std::ios::out",17,<ios>
"std::find_if",17,<algorithm>
"std::wstring",16,<string>
"std::monostate",16,<variant>
"std::make_tuple",16,<tuple>
"std::list",16,<list>
"std::is_nothrow_move_constructible_v",16,<type_traits>
"std::is_integral_v",16,<type_traits>
"std::initializer_list",16,<initializer_list>
"std::ofstream",15,<fstream>
"std::is_trivially_copyable_v",15,<type_traits>
"std::in_place_type",15,<optional>
"std::ptrdiff_t",14,<cstddef>
"std::is_sorted",14,<unknown>
"std::is_invocable_r_v",14,<type_traits>
"std::chrono::nanoseconds",14,<chrono>
"std::index_sequence",13,<utility>
"std::trunc",12,<cmath>
"std::replace",12,<algorithm>
"std::regex",12,<regex>
"std::ios::in",12,<ios>
"std::hex",12,<ios>
"std::exception",12,<exception>
"std::conditional_t",12,<type_traits>
"std::max_element",11,<algorithm>
"std::istream",11,<istream>
"std::isnan",11,<cmath>
"std::iota",11,<numeric>
"std::equal",11,<algorithm>
"std::distance",11,<iterator>
"std::count",11,<algorithm>
"std::set",10,<set>
"std::fixed",10,<ios>
"std::ceil",10,<cmath>
"std::upper_bound",9,<algorithm>
"std::system_error",9,<system_error>
"std::floor",9,<cmath>
"std::count_if",9,<algorithm>
"std::span",8,<span>
"std::multiset",8,<set>
"std::make_move_iterator",8,<iterator>
"std::make_index_sequence",8,<utility>
"std::isfinite",8,<cmath>
"std::ifstream",8,<fstream>
"std::errc::result_out_of_range",8,<system_error>
"std::errc::invalid_argument",8,<system_error>
"std::end",8,<iterator>
"std::derived_from",8,<type_traits>
"std::true_type",7,<type_traits>
"std::this_thread::get_id",7,<thread>
"std::tan",7,<cmath>
"std::string::traits_type::length",7,<string>
"std::size",7,<iterator>
"std::setfill",7,<iomanip>
"std::remove_reference_t",7,<type_traits>
"std::remove_pointer_t",7,<type_traits>
"std::regex_replace",7,<regex>
"std::modf",7,<cmath>
"std::min_element",7,<algorithm>
"std::memory_order_acquire",7,<atomic>
"std::is_pointer_v",7,<type_traits>
"std::fstream",7,<fstream>
"std::from_chars",7,<charconv>
"std::forward_iterator_tag",7,<iterator>
"std::find",7,<algorithm>
"std::bitset",7,<bitset>
