# 未明确分类的组件（可能需要手动审查）

| 原始组件 | 使用次数 | 被归为 |
|----------|----------|--------|
| std::regex | 12 | std::regex |
| std::ios::in | 12 | std::ios |
| std::hex | 12 | std::hex |
| std::exception | 12 | std::exception |
| std::conditional_t | 12 | std::conditional_t |
| std::max_element | 11 | std::max_element |
| std::istream | 11 | std::istream |
| std::isnan | 11 | std::isnan |
| std::iota | 11 | std::iota |
| std::equal | 11 | std::equal |
| std::distance | 11 | std::distance |
| std::count | 11 | std::count |
| std::set | 10 | std::set |
| std::fixed | 10 | std::fixed |
| std::ceil | 10 | std::ceil |
| std::upper_bound | 9 | std::upper_bound |
| std::system_error | 9 | std::system_error |
| std::floor | 9 | std::floor |
| std::count_if | 9 | std::count_if |
| std::span | 8 | std::span |
| std::multiset | 8 | std::multiset |
| std::make_move_iterator | 8 | std::make_move_iterator |
| std::make_index_sequence | 8 | std::make_index_sequence |
| std::isfinite | 8 | std::isfinite |
| std::ifstream | 8 | std::ifstream |
| std::errc::result_out_of_range | 8 | std::errc |
| std::errc::invalid_argument | 8 | std::errc |
| std::end | 8 | std::end |
| std::derived_from | 8 | std::derived_from |
| std::true_type | 7 | std::true_type |
| std::this_thread::get_id | 7 | std::this_thread |
| std::tan | 7 | std::tan |
| std::size | 7 | std::size |
| std::setfill | 7 | std::setfill |
| std::remove_reference_t | 7 | std::remove_reference_t |
| std::remove_pointer_t | 7 | std::remove_pointer_t |
| std::regex_replace | 7 | std::regex_replace |
| std::modf | 7 | std::modf |
| std::min_element | 7 | std::min_element |
| std::memory_order_acquire | 7 | std::memory_order_acquire |
| std::is_pointer_v | 7 | std::is_pointer_v |
| std::fstream | 7 | std::fstream |
| std::from_chars | 7 | std::from_chars |
| std::forward_iterator_tag | 7 | std::forward_iterator_tag |
| std::find | 7 | std::find |
| std::bitset | 7 | std::bitset |
| std::weak_ptr | 6 | std::weak_ptr |
| std::setprecision | 6 | std::setprecision |
| std::polar | 6 | std::polar |
| std::is_trivially_move_constructible_v | 6 | std::is_trivially_move_constructible_v |
| std::is_copy_constructible_v | 6 | std::is_copy_constructible_v |
| std::ios::ate | 6 | std::ios |
| std::from_chars_result | 6 | std::from_chars_result |
| std::filesystem::path | 6 | std::filesystem |
| std::false_type | 6 | std::false_type |
| std::exchange | 6 | std::exchange |
| std::begin | 6 | std::begin |
| std::back_inserter | 6 | std::back_inserter |
| std::tie | 5 | std::tie |
| std::thread | 5 | std::thread |
| std::streamsize | 5 | std::streamsize |
| std::stoi | 5 | std::stoi |
| std::rotate | 5 | std::rotate |
| std::reduce | 5 | std::reduce |
| std::plus | 5 | std::plus |
| std::next | 5 | std::next |
| std::mt19937 | 5 | std::mt19937 |
| std::memcmp | 5 | std::memcmp |
| std::log | 5 | std::log |
| std::isdigit | 5 | std::isdigit |
| std::isalnum | 5 | std::isalnum |
| std::is_arithmetic_v | 5 | std::is_arithmetic_v |
| std::ios_base::binary | 5 | std::ios_base |
| std::ios::beg | 5 | std::ios |
| std::enable_if_t | 5 | std::enable_if_t |
| std::dynamic_pointer_cast | 5 | std::dynamic_pointer_cast |
| std::condition_variable | 5 | std::condition_variable |
| std::uninitialized_copy_n | 4 | std::uninitialized_copy_n |
| std::transform | 4 | std::transform |
| std::thread::id | 4 | std::thread |
| std::system_category | 4 | std::system_category |
| std::string_literals | 4 | std::string_literals |
| std::strerror | 4 | std::strerror |
| std::set_union | 4 | std::set_union |
| std::set_difference | 4 | std::set_difference |
| std::remove_if | 4 | std::remove_if |
| std::recursive_mutex | 4 | std::recursive_mutex |
| std::nullptr_t | 4 | std::nullptr_t |
| std::none_of | 4 | std::none_of |
| std::memory_order_release | 4 | std::memory_order_release |
| std::lower_bound | 4 | std::lower_bound |
| std::logical_or | 4 | std::logical_or |
| std::is_trivially_copy_constructible_v | 4 | std::is_trivially_copy_constructible_v |
| std::is_enum_v | 4 | std::is_enum_v |
| std::ios_base::openmode | 4 | std::ios_base |
| std::ios_base::app | 4 | std::ios_base |
| std::greater | 4 | std::greater |
| std::getline | 4 | std::getline |
| std::exp | 4 | std::exp |
| std::erase_if | 4 | std::erase_if |
| std::declval | 4 | std::declval |
| std::arg | 4 | std::arg |
| std::stack | 3 | std::stack |
| std::set_intersection | 3 | std::set_intersection |
| std::regex_search | 3 | std::regex_search |
| std::ref | 3 | std::ref |
| std::priority_queue | 3 | std::priority_queue |
| std::prev | 3 | std::prev |
| std::ofstream::out | 3 | std::ofstream |
| std::ofstream::binary | 3 | std::ofstream |
| std::memory_order_acq_rel | 3 | std::memory_order_acq_rel |
| std::memchr | 3 | std::memchr |
| std::is_trivially_constructible_v | 3 | std::is_trivially_constructible_v |
| std::ios_base::in | 3 | std::ios_base |
| std::hash | 3 | std::hash |
| std::forward_list | 3 | std::forward_list |
| std::fmod | 3 | std::fmod |
| std::fill | 3 | std::fill |
| std::fclose | 3 | std::fclose |
| std::error_code | 3 | std::error_code |
| std::errc | 3 | std::errc |
| std::chrono::duration_cast | 3 | std::chrono::duration_cast |
| std::char_traits | 3 | std::char_traits |
| std::bad_cast | 3 | std::bad_cast |
